CCG or Health Board;;Abtard;Ebesque XL;Fencino;Venlalic XL;Grand Total
NORTH DERBYSHIRE CCG;;129 444,02;32 337,34;55 275,43;27 782,39;244 839,18
NORTH DURHAM CCG;;115 711,38;100 081,13;56 770,78;29 647,24;302 210,53
NORTH EAST ESSEX CCG;;88 053,29;55 516,57;61 634,00;67 776,34;272 980,20
NORTH EAST HAMPSHIRE AND FARNHAM CCG;;53 585,95;51 869,16;50 895,23;27 274,79;183 625,13
NORTH EAST LINCOLNSHIRE CCG;;29 652,73;38 632,71;28 361,03;22 548,93;119 195,40
NORTH HAMPSHIRE CCG;;43 298,93;34 501,88;44 185,07;27 378,98;149 364,86
NORTH KIRKLEES CCG;;55 686,29;39 217,36;41 188,75;21 231,64;157 324,04
NORTH LINCOLNSHIRE CCG;;72 684,74;35 294,98;87 118,26;41 931,98;237 029,96
NORTH MANCHESTER CCG;;103 515,29;98 062,14;56 168,37;48 211,36;305 957,16
NORTH NORFOLK CCG;;22 133,83;53 135,43;36 880,20;20 817,03;132 966,49
NORTH SOMERSET CCG;;45 643,42;28 359,50;28 996,13;20 018,28;123 017,33
NORTH STAFFORDSHIRE CCG;;62 198,19;41 759,73;35 830,31;43 430,43;183 218,66
NORTH TYNESIDE CCG;;82 166,33;45 777,33;59 906,91;24 902,68;212 753,25
NORTH WEST SURREY CCG;;39 387,44;29 763,84;19 304,65;25 427,56;113 883,49
NORTH, EAST, WEST DEVON CCG;;105 151,40;121 503,84;71 428,37;90 183,61;388 267,22
NORTHUMBERLAND CCG;;93 413,56;29 207,35;51 598,34;22 734,37;196 953,62
NORWICH CCG;;27 384,86;43 657,37;12 362,49;12 673,75;96 078,47
NOTTINGHAM CITY CCG;;31 274,92;69 431,30;68 022,23;17 004,95;185 733,40
NOTTINGHAM NORTH & EAST CCG;;50 747,65;29 523,31;31 598,16;24 731,18;136 600,30
NOTTINGHAM WEST CCG;;11 904,80;6 018,06;10 063,53;8 089,82;36 076,21
OLDHAM CCG;;166 884,30;100 439,43;73 948,73;91 633,21;432 905,67
OXFORDSHIRE CCG;;86 016,45;34 122,34;41 265,90;26 730,66;188 135,35
PORTSMOUTH CCG;;22 923,73;54 755,28;33 980,81;25 822,73;137 482,55
POWYS TEACHING;;47 296,43;41 142,70;43 798,40;13 321,52;145 559,05
REDBRIDGE CCG;;44 396,76;39 658,08;34 597,52;27 386,11;146 038,47
REDDITCH AND BROMSGROVE CCG;;23 744,54;17 477,00;14 755,00;7 880,22;63 856,76
RICHMOND CCG;;25 508,53;41 528,68;19 590,00;13 909,00;100 536,21
ROTHERHAM CCG;;61 796,42;47 200,55;45 922,41;31 682,72;186 602,10
RUSHCLIFFE CCG;;28 805,31;15 172,82;10 549,68;17 760,43;72 288,24
SALFORD CCG;;166 904,50;52 212,03;23 295,90;16 555,73;258 968,16
SANDWELL AND WEST BIRMINGHAM CCG;;78 729,17;138 571,72;52 393,76;38 621,81;308 316,46
SCARBOROUGH AND RYEDALE CCG;;16 731,48;7 353,88;16 270,61;6 348,00;46 703,97
SE STAFFS & SEISDON PENINSULAR CCG;;15 841,70;22 908,95;26 726,98;19 812,05;85 289,68
SHEFFIELD CCG;;136 611,44;29 893,50;96 819,22;60 378,93;323 703,09
SHROPSHIRE CCG;;67 485,90;34 748,69;62 792,90;49 489,47;214 516,96
SLOUGH CCG;;20 146,82;24 645,19;12 307,70;14 576,73;71 676,44
SOLIHULL CCG;;56 789,44;33 338,12;30 307,52;18 244,23;138 679,31
SOMERSET CCG;;72 861,18;53 681,21;59 250,18;39 743,38;225 535,95
SOUTH CHESHIRE CCG;;11 663,65;4 009,41;14 835,71;14 498,82;45 007,59
SOUTH DEVON AND TORBAY CCG;;72 168,32;114 094,67;70 708,18;55 709,63;312 680,80
SOUTH EASTERN HAMPSHIRE CCG;;18 467,89;20 613,91;29 428,00;18 963,61;87 473,41
SOUTH GLOUCESTERSHIRE CCG;;36 744,39;13 052,43;26 839,33;7 250,99;83 887,14
SOUTH KENT COAST CCG;;41 861,18;77 450,47;20 747,99;16 140,35;156 199,99
SOUTH LINCOLNSHIRE CCG;;24 152,59;32 869,58;77 206,85;122 143,02;256 372,04
SOUTH MANCHESTER CCG;;89 373,81;30 958,03;46 414,99;14 289,30;181 036,13
SOUTH NORFOLK CCG;;44 474,99;59 882,24;47 544,07;48 205,76;200 107,06
SOUTH READING CCG;;6 735,58;6 497,08;2 196,89;4 379,65;19 809,20
SOUTH SEFTON CCG;;108 860,85;65 774,41;34 457,47;31 290,20;240 382,93
SOUTH TEES CCG;;200 629,13;81 085,17;122 333,33;46 854,15;450 901,78
SOUTH TYNESIDE CCG;;143 725,11;37 584,98;46 126,36;17 668,49;245 104,94
SOUTH WARWICKSHIRE CCG;;28 740,78;53 953,10;33 152,07;51 789,78;167 635,73
SOUTH WEST LINCOLNSHIRE CCG;;30 470,29;20 694,70;51 439,98;22 155,73;124 760,70
SOUTH WORCESTERSHIRE CCG;;78 686,41;34 773,06;42 698,20;25 670,13;181 827,80
SOUTHAMPTON CCG;;44 103,12;30 663,65;37 638,39;19 590,91;131 996,07
SOUTHEND CCG;;35 547,41;42 322,77;24 117,93;11 605,15;113 593,26
SOUTHERN DERBYSHIRE CCG;;54 116,30;79 254,54;44 735,91;41 621,73;219 728,48
SOUTHPORT AND FORMBY CCG;;66 439,29;23 928,82;48 765,83;16 602,99;155 736,93
SOUTHWARK CCG;;33 228,39;44 634,67;23 873,85;39 612,80;141 349,71
ST HELENS CCG;;21 926,44;14 414,68;20 768,38;15 856,17;72 965,67
STAFFORD AND SURROUNDS CCG;;34 376,00;13 288,49;14 707,37;15 182,25;77 554,11
STOCKPORT CCG;;140 571,55;73 730,39;31 764,51;47 814,20;293 880,65
STOKE ON TRENT CCG;;74 632,29;65 394,97;26 371,27;39 452,71;205 851,24
SUNDERLAND CCG;;162 667,13;86 442,49;59 225,86;31 845,33;340 180,81
SURREY DOWNS CCG;;49 072,40;46 307,53;21 338,57;40 443,01;157 161,51
SURREY HEATH CCG;;28 194,27;19 562,34;12 143,73;12 793,51;72 693,85
SUTTON CCG;;34 246,81;33 928,24;29 244,65;17 007,12;114 426,82
SWALE CCG;;44 938,33;35 461,04;5 187,66;8 118,57;93 705,60
SWINDON CCG;;54 012,63;27 054,92;29 228,40;20 121,12;130 417,07
TAMESIDE AND GLOSSOP CCG;;99 728,13;40 733,79;35 029,73;44 681,12;220 172,77
TELFORD & WREKIN CCG;;78 957,17;50 039,50;44 054,90;48 786,92;221 838,49
THANET CCG;;26 153,03;54 188,31;19 580,46;15 348,64;115 270,44
THURROCK CCG;;29 180,11;23 254,34;10 144,95;10 938,67;73 518,07
TOWER HAMLETS CCG;;32 411,35;45 268,89;18 818,53;9 247,83;105 746,60
TRAFFORD CCG;;145 903,66;30 214,76;80 660,34;37 049,72;293 828,48
VALE OF YORK CCG;;72 600,62;51 350,35;35 020,23;25 404,58;184 375,78
VALE ROYAL CCG;;9 940,03;4 862,92;7 081,06;6 283,95;28 167,96
WAKEFIELD CCG;;61 996,85;51 556,88;45 130,74;21 345,45;180 029,92
WALSALL CCG;;75 431,55;30 870,00;40 928,47;22 667,13;169 897,15
WALTHAM FOREST CCG;;52 061,83;92 076,35;14 163,21;28 152,15;186 453,54
WANDSWORTH CCG;;30 813,71;59 146,55;37 884,69;34 003,45;161 848,40
WARRINGTON CCG;;37 510,12;73 098,86;16 846,45;16 949,73;144 405,16
WARWICKSHIRE NORTH CCG;;25 293,34;66 342,79;17 493,01;31 064,17;140 193,31
WEST CHESHIRE CCG;;48 222,23;32 434,91;31 340,45;41 589,65;153 587,24
WEST ESSEX CCG;;26 617,79;45 774,10;32 409,10;36 099,36;140 900,35
WEST HAMPSHIRE CCG;;134 648,30;73 966,42;117 612,59;76 054,70;402 282,01
WEST KENT CCG;;244 751,92;284 745,18;110 281,75;25 055,27;664 834,12
WEST LANCASHIRE CCG;;35 791,35;11 521,20;35 618,63;7 950,45;90 881,63
WEST LEICESTERSHIRE CCG;;77 039,08;26 702,37;74 627,20;34 308,51;212 677,16
WEST LONDON (K&C & QPP) CCG;;24 271,68;39 811,73;15 182,11;11 807,56;91 073,08
WEST NORFOLK CCG;;44 430,66;47 053,37;31 922,92;34 890,59;158 297,54
WEST SUFFOLK CCG;;64 726,07;91 113,68;43 110,18;69 203,98;268 153,91
WIGAN BOROUGH CCG;;141 658,11;140 997,72;161 843,95;27 275,46;471 775,24
WILTSHIRE CCG;;23 309,81;20 899,03;29 610,98;57 151,39;130 971,21
WINDSOR, ASCOT AND MAIDENHEAD CCG;;14 438,64;24 823,24;7 635,95;12 302,57;59 200,40
WIRRAL CCG;;34 372,24;10 278,62;13 227,73;21 540,70;79 419,29
WOKINGHAM CCG;;7 007,24;11 047,33;11 168,69;11 912,24;41 135,50
WOLVERHAMPTON CCG;;78 366,24;60 731,63;42 145,55;21 924,18;203 167,60
WYRE FOREST CCG;;36 831,02;33 223,19;12 003,59;6 009,66;88 067,46
